audio;stim_lev;vol;left;right;stim;Hz;categorie;training_loop.thisRepN;training_loop.thisTrialN;training_loop.thisN;training_loop.thisIndex;stim_loop.thisRepN;stim_loop.thisTrialN;stim_loop.thisN;stim_loop.thisIndex;stim_test.thisRepN;stim_test.thisTrialN;stim_test.thisN;stim_test.thisIndex;stim_neutral_loop.thisRepN;stim_neutral_loop.thisTrialN;stim_neutral_loop.thisN;stim_neutral_loop.thisIndex;stim_neutral31_loop.thisRepN;stim_neutral31_loop.thisTrialN;stim_neutral31_loop.thisN;stim_neutral31_loop.thisIndex;conterbalencement.thisRepN;conterbalencement.thisTrialN;conterbalencement.thisN;conterbalencement.thisIndex;istr_nh_loop.thisRepN;istr_nh_loop.thisTrialN;istr_nh_loop.thisN;istr_nh_loop.thisIndex;nh_loop_trials.thisRepN;nh_loop_trials.thisTrialN;nh_loop_trials.thisN;nh_loop_trials.thisIndex;istr_nb_loop.thisRepN;istr_nb_loop.thisTrialN;istr_nb_loop.thisN;istr_nb_loop.thisIndex;nb_loop_trials.thisRepN;nb_loop_trials.thisTrialN;nb_loop_trials.thisN;nb_loop_trials.thisIndex;conterbalencement2.thisRepN;conterbalencement2.thisTrialN;conterbalencement2.thisN;conterbalencement2.thisIndex;istr_hn_loop.thisRepN;istr_hn_loop.thisTrialN;istr_hn_loop.thisN;istr_hn_loop.thisIndex;hn_loop_trials.thisRepN;hn_loop_trials.thisTrialN;hn_loop_trials.thisN;hn_loop_trials.thisIndex;istr_bn_loop.thisRepN;istr_bn_loop.thisTrialN;istr_bn_loop.thisN;istr_bn_loop.thisIndex;bn_loop_trials.thisRepN;bn_loop_trials.thisTrialN;bn_loop_trials.thisN;bn_loop_trials.thisIndex;arousal_loop.thisRepN;arousal_loop.thisTrialN;arousal_loop.thisN;arousal_loop.thisIndex;valence_loop.thisRepN;valence_loop.thisTrialN;valence_loop.thisN;valence_loop.thisIndex;sound_1.started;sound_1.stopped;txt_wait.started;txt_wait.stopped;amplitude_5hz;sound_2.started;sound_2.stopped;amplitude_31hz;sound_6.started;sound_6.stopped;img_nh_right.started;img_nh_right.stopped;img_nh_left.started;img_nh_left.stopped;img_trial_right.started;img_trial_right.stopped;img_trial_left.started;img_trial_left.stopped;resp.keys;resp.rt;resp.started;resp.stopped;sound_3.started;sound_3.stopped;img_nb_right.started;img_nb_right.stopped;img_nb_left.started;img_nb_left.stopped;half_break_left.started;half_break_left.stopped;kb_half_break.keys;kb_half_break.rt;kb_half_break.started;kb_half_break.stopped;img_hn_right.started;img_hn_right.stopped;img_hn_left.started;img_hn_left.stopped;img_bn_right.started;img_bn_right.stopped;img_bn_left.started;img_bn_left.stopped;img_arousal_right.started;img_arousal_right.stopped;img_arousal_left.started;img_arousal_left.stopped;img_val_right.started;img_val_right.stopped;img_val_left.started;img_val_left.stopped;kb_valuation.keys;kb_valuation.rt;kb_valuation.started;kb_valuation.stopped;sound_4.started;sound_4.stopped;img_valence_right.started;img_valence_right.stopped;img_valence_left.started;img_valence_left.stopped;txt_end_right.started;txt_end_right.stopped;txt_end_left.started;txt_end_left.stopped;participant;session;practice;stim_setting;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;0;0;0;0;;;;;4;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;151.83424539499828;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;5;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;152.45092957400192;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;6;0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;153.56767944700113;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;7;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;154.43439183200388;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;8;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;157.4008658420018;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;9;0;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;158.7841966270018;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;10;0;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;159.13413553100253;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;11;0;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;159.43416305799764;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;12;0;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;159.71760218800335;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;13;0;13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;162.43423061700304;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;14;0;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;163.40085035000374;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;15;0;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;163.66757711600366;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;16;0;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;166.05082623299967;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;17;0;17;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;168.13397166299836;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;18;0;18;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;168.4008467830019;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;19;0;19;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;171.6673618250017;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;20;0;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;177.28408893600425;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;21;0;21;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;179.11733103799924;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;22;0;22;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;179.75055620500206;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;23;0;23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;180.33392521200147;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;24;0;24;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;181.16722941200277;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;25;0;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;181.41712675700109;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;26;0;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;182.2673430509996;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;27;0;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;185.8171495410017;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;28;0;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;186.11727289000117;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
;;;;;;;;;;;;0;0;0;0;;;;;29;0;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;186.3171726350003;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;001;0;1;2022_Mar_22_1220;VR_setting;2021.2.3;59.97692052109131;
