images/NF.png;images/NM.png;;;;;;0;0;0;0;;;;;;;;;;;;;1;0;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130.35057685300126;None;130.35057685300126;None;'l';4.436302442001761;130.35057685300126;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
images/NM.png;images/NF.png;;;;;;0;0;0;0;;;;;;;;;;;;;1;1;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165.36659329899703;None;165.36659329899703;None;'l','j','l','j','k','l','j','k','l';5.927353350998601,7.740146864998678,10.299300849997962,13.294184824997501,15.274288410997542,16.81429507899884,21.459225551996497,25.31432494999899,25.79330162799306;165.36659329899703;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;17.20845994800038;198.37716288900265;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;high;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;medium;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;low;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3.955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244.6457227589999;None;244.6457227589999;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11BFI.png;images/MAM11NES.png;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252.1362372040021;None;252.1362372040021;None;'l','k','j','k','j','l','k','j';1.072508197001298,5.185488506002002,6.303636247997929,24.803551949000394,25.15753164399939,25.552489859997877,26.333534233002865,29.080636093996873;252.1362372040021;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11NES.png;images/MAM11BFI.png;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;287.1516695620012;None;287.1516695620012;None;'k','l','k','l','j','k','l','k','l';1.6701044840010582,1.9420940470008645,9.779138595004042,11.759108612997807,12.803072034999786,18.298248880004394,23.841134360998694,24.46722384000168,28.85814419900271;287.1516695620012;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11BFI.png;images/MAM11NES.png;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322.16972310099663;None;322.16972310099663;None;'k','l','k','j','k','j','l','k','j';4.28501236000011,4.7741456880030455,9.143113477002771,9.450088156001584,18.88706922500569,19.477154325999436,20.048182250000536,22.276096812005562,23.232194354000967;322.16972310099663;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11NES.png;images/MAM11BFI.png;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;3;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357.18611557700206;None;357.18611557700206;None;'k','l','k','l','j','l','j','k','j','l','j';1.7756141949939774,2.1466751209954964,9.51265151899861,12.957747050000762,14.929748966998886,17.55774646699865,21.656654323996918,25.02268137899955,25.93678148699837,26.486832372000208,29.741678052996576;357.18611557700206;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11BFI.png;images/MAM11NES.png;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;1;0;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;392.2019497930014;None;392.2019497930014;None;'k','l','j','k','l','k','j','k','j','j';1.9347779669988086,2.2177868229991873,7.7359332790001645,10.920852904004278,11.812856500000635,12.913926647001063,14.428866059002758,15.328793651002343,17.045818067002983,29.88983570200071;392.2019497930014;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11BFI.png;images/MAM11NES.png;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;427.2121573990007;None;427.2121573990007;None;'j','k','l','k','l','j','k','l','l','l','k','j';3.075727014002041,4.051655016002769,6.769735141999263,9.039656314998865,10.600665616002516,13.92773658400256,19.801769311001408,20.26865585300402,23.06564184799936,23.378662634000648,28.38377819499874,28.701735406000807;427.2121573990007;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11NES.png;images/MAM11BFI.png;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;1;2;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;462.23488598300173;None;462.23488598300173;None;'k','l','j','k','k','l','k','j','k','l','l';1.6499199680038146,2.7700166450013057,11.527007529999537,16.23598789799871,20.28291789299692,20.590985962997365,24.788046079003834,26.943036060998566,28.073921365998103,28.372853558001225,29.342054911998275;462.23488598300173;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11NES.png;images/MAM11BFI.png;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;1;3;7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;497.24425175000215;None;497.24425175000215;None;'j','k','l','k','j','k','l','k','j','j','l','j','k';1.0725171230005799,2.705690978000348,3.750619974998699,5.908534590998897,6.234547359999851,16.080510355001024,17.69848618299875,18.63449744000536,18.94963896200352,24.08763094599999,25.929476910998346,27.14155614899937,28.861491895004292;497.24425175000215;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
;;;images/MAM11NES.png;images/MAM11BFI.png;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;2;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;532.2606927579982;None;532.2606927579982;None;'k','l','j','k','l','j','l','j','k','l','l','j';1.5470738520016312,6.007033157002297,12.226183578997734,13.710140565999609,14.20119807300216,15.14105716800259,18.46122926499811,19.881204680001247,23.19010860400158,23.57805591399665,24.433186638001644,26.876185740999063;532.2606927579982;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;001;1;1;2022_Jan_31_1650;VR_setting;2021.2.3;59.98690521890898;
